Institution Name,State,Applied,NYA,Accepted,Matric
Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,2,2,0,0
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,13,13,0,0
University of Arkansas for Medical Sciences College of Medicine,AR,6,6,0,0
University of Arizona College of Medicine - Phoenix,AZ,91,85,4,2
University of Arizona College of Medicine – Tucson,AZ,79,78,0,1
California Northstate University College of Medicine,CA,123,114,6,3
California University of Science and Medicine,CA,149,130,15,4
Kaiser Permanente Bernard J. Tyson School of Medicine,CA,141,140,0,1
Keck School of Medicine of the University of Southern California,CA,168,161,3,4
Loma Linda University School of Medicine,CA,91,89,1,1
Stanford University School of Medicine,CA,91,91,0,0
UCLA/Drew Medical Education Program,CA,51,50,0,1
"University of California, Davis, School of Medicine",CA,196,189,5,2
"University of California, Irvine, School of Medicine",CA,186,178,3,5
"University of California, Los Angeles David Geffen School of Medicine",CA,162,160,1,1
"University of California, Riverside School of Medicine",CA,165,164,0,1
"University of California, San Diego School of Medicine",CA,183,179,0,4
"University of California, San Francisco, School of Medicine",CA,139,137,0,2
University of Colorado School of Medicine,CO,104,101,1,2
Frank H. Netter MD School of Medicine at Quinnipiac University,CT,67,63,2,2
University of Connecticut School of Medicine,CT,21,21,0,0
Yale School of Medicine,CT,34,34,0,0
George Washington University School of Medicine and Health Sciences,DC,114,114,0,0
Georgetown University School of Medicine,DC,118,114,1,3
Howard University College of Medicine,DC,39,38,1,0
Charles E. Schmidt College of Medicine at Florida Atlantic University,FL,34,33,0,1
Florida International University Herbert Wertheim College of Medicine,FL,34,33,1,0
Florida State University College of Medicine,FL,21,21,0,0
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,37,37,0,0
USF Health Morsani College of Medicine,FL,31,27,1,3
University of Central Florida College of Medicine,FL,21,20,1,0
University of Florida College of Medicine,FL,6,6,0,0
University of Miami Leonard M. Miller School of Medicine,FL,87,84,1,2
Emory University School of Medicine,GA,83,83,0,0
Medical College of Georgia at Augusta University,GA,8,8,0,0
Morehouse School of Medicine,GA,37,37,0,0
"University of Hawaii, John A. Burns School of Medicine",HI,37,37,0,0
University of Iowa Roy J. and Lucille A. Carver College of Medicine,IA,24,23,1,0
Carle Illinois College of Medicine,IL,30,29,0,1
Chicago Medical School at Rosalind Franklin University of Medicine & Science,IL,114,107,2,5
Loyola University Chicago Stritch School of Medicine,IL,110,105,2,3
Northwestern University The Feinberg School of Medicine,IL,45,43,1,1
Rush Medical College of Rush University Medical Center,IL,115,113,1,1
Southern Illinois University School of Medicine,IL,2,2,0,0
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,IL,37,37,0,0
University of Illinois College of Medicine,IL,40,38,1,1
Indiana University School of Medicine,IN,41,40,1,0
University of Kansas School of Medicine,KS,11,11,0,0
University of Kentucky College of Medicine,KY,8,8,0,0
University of Louisville School of Medicine,KY,22,22,0,0
Louisiana State University School of Medicine in New Orleans,LA,13,13,0,0
Louisiana State University School of Medicine in Shreveport,LA,16,16,0,0
Tulane University School of Medicine,LA,136,136,0,0
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,MA,77,72,3,2
Harvard Medical School,MA,42,42,0,0
Tufts University School of Medicine,MA,121,121,0,0
University of Massachusetts T.H. Chan School of Medicine,MA,32,30,1,1
Johns Hopkins University School of Medicine,MD,34,34,0,0
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,MD,18,14,2,2
University of Maryland School of Medicine,MD,35,35,0,0
Central Michigan University College of Medicine,MI,39,39,0,0
Michigan State University College of Human Medicine,MI,52,51,0,1
Oakland University William Beaumont School of Medicine,MI,73,72,0,1
University of Michigan Medical School,MI,48,48,0,0
Wayne State University School of Medicine,MI,56,49,4,3
Western Michigan University Homer Stryker M.D. School of Medicine,MI,37,35,1,1
Mayo Clinic Alix School of Medicine,MN,24,22,1,1
University of Minnesota Medical School,MN,35,35,0,0
Saint Louis University School of Medicine,MO,58,56,1,1
University of Missouri-Columbia School of Medicine,MO,14,14,0,0
University of Missouri-Kansas City School of Medicine,MO,8,8,0,0
Washington University in St. Louis School of Medicine,MO,28,27,1,0
Duke University School of Medicine,NC,36,36,0,0
University of North Carolina at Chapel Hill School of Medicine,NC,21,21,0,0
Wake Forest University School of Medicine,NC,79,79,0,0
University of North Dakota School of Medicine and Health Sciences,ND,10,10,0,0
Creighton University School of Medicine,NE,51,43,6,2
University of Nebraska College of Medicine,NE,6,5,0,1
Geisel School of Medicine at Dartmouth,NH,81,80,1,0
Cooper Medical School of Rowan University,NJ,31,30,1,0
Hackensack Meridian School of Medicine,NJ,41,40,0,1
Rutgers New Jersey Medical School,NJ,20,20,0,0
"Rutgers, Robert Wood Johnson Medical School",NJ,25,24,0,1
University of New Mexico School of Medicine,NM,5,5,0,0
Kirk Kerkorian School of Medicine at UNLV,NV,20,20,0,0
"University of Nevada, Reno School of Medicine",NV,19,19,0,0
Albany Medical College,NY,119,116,2,1
Albert Einstein College of Medicine,NY,83,82,1,0
Columbia University Vagelos College of Physicians and Surgeons,NY,38,38,0,0
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,NY,42,40,1,1
Icahn School of Medicine at Mount Sinai,NY,57,56,0,1
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,NY,25,25,0,0
NYU Grossman School of Medicine,NY,42,42,0,0
New York Medical College,NY,112,109,3,0
New York University Long Island School of Medicine,NY,29,29,0,0
