Institution Name,State,Applied,NYA,Accepted,Matric
Albany Medical College,NY,113,113,0,0
Albert Einstein College of Medicine,NY,77,77,0,0
Anne Burnett Marion School of Medicine at TCU,TX,50,45,5,0
Baylor College of Medicine,TX,1,1,0,0
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,MA,87,83,4,0
Brody School of Medicine at East Carolina University,NC,1,1,0,0
California Northstate University College of Medicine,CA,95,87,8,0
California University of Science and Medicine,CA,133,126,7,0
Carle Illinois College of Medicine,IL,25,25,0,0
Case Western Reserve University School of Medicine,OH,50,45,5,0
Central Michigan University College of Medicine,MI,41,41,0,0
Charles E. Schmidt College of Medicine at Florida Atlantic University,FL,27,26,1,0
Charles R. Drew University Of Medicine and Science College of Medicine,CA,13,12,1,0
Chicago Medical School at Rosalind Franklin University of Medicine & Science,IL,98,93,5,0
Columbia University Vagelos College of Physicians and Surgeons,NY,35,35,0,0
Cooper Medical School of Rowan University,NJ,28,28,0,0
Creighton University School of Medicine,NE,54,49,5,0
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,NY,43,43,0,0
Drexel University College of Medicine,PA,115,112,3,0
Duke University School of Medicine,NC,40,40,0,0
East Tennessee State University James H. Quillen College of Medicine,TN,11,11,0,0
Eastern Virginia Medical School,VA,53,53,0,0
Emory University School of Medicine,GA,84,84,0,0
Florida International University Herbert Wertheim College of Medicine,FL,29,28,1,0
Florida State University College of Medicine,FL,15,15,0,0
Frank H. Netter MD School of Medicine at Quinnipiac University,CT,63,60,3,0
Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,1,1,0,0
Geisel School of Medicine at Dartmouth,NH,70,68,2,0
Geisinger Commonwealth School of Medicine,PA,33,33,0,0
George Washington University School of Medicine and Health Sciences,DC,134,134,0,0
Georgetown University School of Medicine,DC,124,120,4,0
Hackensack Meridian School of Medicine,NJ,46,43,3,0
Harvard Medical School,MA,39,39,0,0
Howard University College of Medicine,DC,29,29,0,0
Icahn School of Medicine at Mount Sinai,NY,57,57,0,0
Indiana University School of Medicine,IN,31,30,1,0
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,NY,43,42,1,0
Johns Hopkins University School of Medicine,MD,27,27,0,0
Joint Medical Program UC B/SF,CA,2,2,0,0
Kaiser Permanente Bernard J. Tyson School of Medicine,CA,137,135,2,0
Keck School of Medicine of the University of Southern California,CA,172,162,10,0
Kirk Kerkorian School of Medicine at UNLV,NV,15,15,0,0
Lewis Katz School of Medicine at Temple University,PA,92,91,1,0
Loma Linda University School of Medicine,CA,64,63,1,0
Louisiana State University School of Medicine in New Orleans,LA,14,14,0,0
Louisiana State University School of Medicine in Shreveport,LA,12,12,0,0
Loyola University Chicago Stritch School of Medicine,IL,83,80,3,0
Marshall University Joan C. Edwards School of Medicine,WV,3,3,0,0
Mayo Clinic Alix School of Medicine,MN,42,41,1,0
Medical College of Georgia at Augusta University,GA,5,5,0,0
Medical College of Wisconsin,WI,60,59,1,0
Medical University of South Carolina College of Medicine,SC,4,4,0,0
Meharry Medical College,TN,27,27,0,0
Michigan State University College of Human Medicine,MI,36,35,1,0
Morehouse School of Medicine,GA,20,19,1,0
NYU Grossman School of Medicine,NY,54,54,0,0
NYU Long Island School of Medicine,NY,30,30,0,0
New York Medical College,NY,94,90,4,0
Northeast Ohio Medical University,OH,19,16,3,0
Northwestern University The Feinberg School of Medicine,IL,53,53,0,0
